file	obj	non_def	iter	time	best_time
runs/real-tries-10-rmax-5/dublin.txt-k5	17	0	74	302.233	36.543
runs/real-tries-10-rmax-5/dublin.txt-k6	19	0	668	300.158	12.348
runs/real-tries-10-rmax-5/dublin.txt-k8	21	0	173	300.689	40.453
runs/real-tries-10-rmax-5/edmonton.txt-k2	170	0	293	1201.47	0
runs/real-tries-10-rmax-5/edmonton.txt-k3	208	0	13	1315.14	733.603
runs/real-tries-10-rmax-5/edmonton.txt-k4	208	0	0	0	0
runs/real-tries-10-rmax-5/edmonton.txt-k5	208	0	0	0	0
runs/real-tries-10-rmax-5/edmonton.txt-k6	208	0	0	0	0
runs/real-tries-10-rmax-5/edmonton.txt-k8	208	0	0	0	0
runs/real-tries-10-rmax-5/eindhoven.txt-k2	52	0	132	1206.76	255.324
runs/real-tries-10-rmax-5/eindhoven.txt-k3	67	0	315	1203.86	0
runs/real-tries-10-rmax-5/eindhoven.txt-k4	72	0	80	1227.25	1068.16
runs/real-tries-10-rmax-5/eindhoven.txt-k5	88	0	19	1254.28	1185.63
runs/real-tries-10-rmax-5/eindhoven.txt-k6	88	0	0	0	0
runs/real-tries-10-rmax-5/eindhoven.txt-k8	88	0	0	0	0
runs/real-tries-10-rmax-5/enschede.txt-k2	29	0	334	600.52	9.465
runs/real-tries-10-rmax-5/enschede.txt-k3	37	0	94	605.985	0
runs/real-tries-10-rmax-5/enschede.txt-k4	41	0	65	605.805	102.428
runs/real-tries-10-rmax-5/enschede.txt-k5	49	0	22	617.911	178.402
runs/real-tries-10-rmax-5/enschede.txt-k6	52	0	9	641.716	641.716
runs/real-tries-10-rmax-5/enschede.txt-k8	52	0	0	0	0
runs/real-tries-10-rmax-5/esztergom.txt-k2	33	0	0	0	0
runs/real-tries-10-rmax-5/esztergom.txt-k3	33	0	0	0	0
runs/real-tries-10-rmax-5/esztergom.txt-k4	33	0	0	0	0
runs/real-tries-10-rmax-5/esztergom.txt-k5	33	0	0	0	0
runs/real-tries-10-rmax-5/esztergom.txt-k6	33	0	0	0	0
runs/real-tries-10-rmax-5/esztergom.txt-k8	33	0	0	0	0
runs/real-tries-10-rmax-5/europe-1914.txt-k2	14	0	5000	0.057	0
runs/real-tries-10-rmax-5/europe-1914.txt-k3	16	0	2382	300.131	0
runs/real-tries-10-rmax-5/europe-1914.txt-k4	17	0	370	300.09	3.051
runs/real-tries-10-rmax-5/europe-1914.txt-k5	19	0	110	302.522	5.157
runs/real-tries-10-rmax-5/europe-1914.txt-k6	19	0	77	300.314	33.469
runs/real-tries-10-rmax-5/europe-1914.txt-k8	21	0	63	301.52	0.614
runs/real-tries-10-rmax-5/europe-1938.txt-k2	16	0	5000	0.057	0
