file	obj	non_def	iter	time	best_time
150_0.6_k2_800	6	0	37	1238.48	108.375
150_0.6_k2_900	6	0	37	1238.47	33.06
150_0.6_k3_100	9	0	30	1250.39	1250.39
150_0.6_k3_1000	8	0	22	1328.62	1142.75
150_0.6_k3_200	8	0	10	1224.18	384.728
150_0.6_k3_300	8	0	16	1334.64	901.718
150_0.6_k3_400	8	0	19	1280.24	912.56
150_0.6_k3_500	8	0	21	1411.34	698.986
150_0.6_k3_600	8	0	18	1288.51	1173.26
150_0.6_k3_700	8	0	22	1569.46	484.644
150_0.6_k3_800	8	0	25	1275.12	837.294
150_0.6_k3_900	8	0	11	1359.85	1359.85
150_0.6_k4_100	13	0	3	1217.53	0
150_0.6_k4_1000	13	0	4	1356.74	0
150_0.6_k4_200	12	0	5	1589.47	698.286
150_0.6_k4_300	11	0	4	1280.45	945.925
150_0.6_k4_400	12	0	3	1627.74	1627.74
150_0.6_k4_500	13	0	3	1205.89	0
150_0.6_k4_600	13	0	4	1677.37	0
150_0.6_k4_700	12	0	5	1427.4	670.445
150_0.6_k4_800	12	0	4	1241.26	700.742
150_0.6_k4_900	12	0	3	1202.35	668.468
150_0.6_k5_100	12	0	0	0	0
150_0.6_k5_1000	12	0	0	0	0
150_0.6_k5_200	12	0	0	0	0
150_0.6_k5_300	12	0	0	0	0
150_0.6_k5_400	12	0	0	0	0
150_0.6_k5_500	12	0	0	0	0
150_0.6_k5_600	12	0	0	0	0
150_0.6_k5_700	12	0	0	0	0
150_0.6_k5_800	12	0	0	0	0
150_0.6_k5_900	12	0	0	0	0
20_0.3_k2_100	12	0	5001	101.936	1.021
20_0.3_k2_1000	12	0	5001	103.373	1.365
20_0.3_k2_200	12	0	5001	101.391	0.827
20_0.3_k2_300	12	0	5001	102.37	2.086
20_0.3_k2_400	12	0	5001	105.134	0.23
20_0.3_k2_500	12	0	5001	101.536	0.047
20_0.3_k2_600	12	0	5000	99.366	1.396
20_0.3_k2_700	12	0	5001	99.858	0.11
20_0.3_k2_800	12	0	5001	98.743	0.536
20_0.3_k2_900	12	0	5001	101.002	0.58
20_0.3_k3_100	14	0	1450	300.219	0.184
20_0.3_k3_1000	14	0	1434	300.103	0.017
20_0.3_k3_200	14	0	1414	300.061	0.025
20_0.3_k3_300	14	0	1494	300.181	0.003
20_0.3_k3_400	14	0	1486	300.199	0.113
20_0.3_k3_500	14	0	1439	300.026	0.212
20_0.3_k3_600	14	0	1432	300.126	0.298
20_0.3_k3_700	14	0	1474	300.064	0.014
20_0.3_k3_800	14	0	1426	300.158	0.285
20_0.3_k3_900	14	0	1482	300.043	0.131
20_0.3_k4_100	16	0	211	300.922	0.727
20_0.3_k4_1000	16	0	218	300.914	0.168
20_0.3_k4_200	16	0	219	301.037	0.675
20_0.3_k4_300	16	0	223	300.504	0.016
20_0.3_k4_400	16	0	205	300.852	4.755
20_0.3_k4_500	16	0	212	300.296	2.61
20_0.3_k4_600	16	0	223	300.394	0.452
20_0.3_k4_700	16	0	211	300.065	4.127
20_0.3_k4_800	16	0	210	300.201	0.046
20_0.3_k4_900	16	0	221	300.446	0.415
20_0.3_k5_100	17	0	104	303.675	19.357
20_0.3_k5_1000	17	0	91	302.581	17.189
20_0.3_k5_200	17	0	102	303.032	7.551
20_0.3_k5_300	17	0	91	303.509	25.287
20_0.3_k5_400	17	0	101	303.606	23.501
20_0.3_k5_500	17	0	132	300.872	190.274
20_0.3_k5_600	17	0	100	301.272	10.562
20_0.3_k5_700	17	0	80	305.461	15.007
20_0.3_k5_800	17	0	163	302.321	134.338
20_0.3_k5_900	17	0	87	303.17	11.069
20_0.4_k2_100	9	0	5001	134.226	0.008
20_0.4_k2_1000	9	0	5001	138.219	0.312
20_0.4_k2_200	9	0	5001	134.553	0.261
20_0.4_k2_300	9	0	5001	138.087	0.548
20_0.4_k2_400	9	0	5001	136.181	0.002
20_0.4_k2_500	9	0	5001	137.462	0.563
20_0.4_k2_600	9	0	5001	138.524	0.144
20_0.4_k2_700	9	0	5001	136.441	0.331
20_0.4_k2_800	9	0	5001	135.096	0.076
20_0.4_k2_900	9	0	5001	128.632	0.04
20_0.4_k3_100	12	0	790	300.183	0
20_0.4_k3_1000	12	0	778	300.025	0
20_0.4_k3_200	12	0	778	300.125	0
20_0.4_k3_300	12	0	810	300.449	0
20_0.4_k3_400	12	0	777	300.181	0
20_0.4_k3_500	12	0	790	300.22	0
20_0.4_k3_600	12	0	788	300.193	0
20_0.4_k3_700	12	0	790	300.054	0
20_0.4_k3_800	12	0	802	300.026	0
20_0.4_k3_900	12	0	810	300.109	0
20_0.4_k4_100	13	0	103	300.595	177.545
20_0.4_k4_1000	13	0	102	302.515	84.94
20_0.4_k4_200	13	0	100	300.594	24.495
20_0.4_k4_300	13	0	104	302.239	66.096
20_0.4_k4_400	13	0	105	301.025	2.378
20_0.4_k4_500	13	0	99	300.842	3.911
20_0.4_k4_600	13	0	102	301.599	2.114
20_0.4_k4_700	13	0	106	303.087	63.168
20_0.4_k4_800	13	0	101	301.854	13.05
20_0.4_k4_900	13	0	97	302.464	53.211
20_0.4_k5_100	14	0	50	301.892	76.891
20_0.4_k5_1000	14	0	60	303.017	90.593
20_0.4_k5_200	14	0	65	304.907	192.168
20_0.4_k5_300	15	0	71	301.295	0.67
20_0.4_k5_400	15	0	69	302.839	0.128
20_0.4_k5_500	14	0	53	300.97	93.028
20_0.4_k5_600	15	0	58	301.908	7.028
20_0.4_k5_700	14	0	53	305.803	44.19
20_0.4_k5_800	14	0	66	300.339	189.236
20_0.4_k5_900	14	0	62	300.851	162.277
20_0.5_k2_100	5	0	5001	102.363	0.114
20_0.5_k2_1000	5	0	5001	100.415	0.078
20_0.5_k2_200	5	0	5001	104.117	0.07
20_0.5_k2_300	5	0	5000	103.697	0.053
20_0.5_k2_400	5	0	5001	101.809	0.172
20_0.5_k2_500	5	0	5001	101.591	0.134
20_0.5_k2_600	5	0	5001	100.421	0.297
20_0.5_k2_700	5	0	5001	102.743	0.156
20_0.5_k2_800	5	0	5001	103.612	0.244
20_0.5_k2_900	5	0	5001	96.489	0.012
20_0.5_k3_100	6	0	1225	300.206	0.553
20_0.5_k3_1000	6	0	1156	300.096	0.562
20_0.5_k3_200	6	0	1207	300.15	2.134
20_0.5_k3_300	6	0	1132	300.279	2.448
20_0.5_k3_400	6	0	1217	300.114	0.075
20_0.5_k3_500	6	0	1226	300.193	0.831
20_0.5_k3_600	6	0	1096	300.132	1.585
20_0.5_k3_700	6	0	1233	300.137	1.144
20_0.5_k3_800	6	0	1169	300.041	1.528
20_0.5_k3_900	6	0	1132	300.382	4.927
20_0.5_k4_100	7	0	106	302.291	28.02
20_0.5_k4_1000	7	0	125	300.645	4.274
20_0.5_k4_200	7	0	121	303.957	16.064
20_0.5_k4_300	7	0	116	302.922	0.787
20_0.5_k4_400	7	0	121	303.871	15.106
20_0.5_k4_500	7	0	121	301.567	1.218
20_0.5_k4_600	7	0	124	302.787	0.924
20_0.5_k4_700	7	0	121	302.682	35.719
20_0.5_k4_800	7	0	113	302.228	12.479
20_0.5_k4_900	7	0	126	304.586	0.996
20_0.5_k5_100	8	0	57	302.286	4.719
20_0.5_k5_1000	8	0	49	309.994	3.649
20_0.5_k5_200	8	0	51	302.913	43.678
20_0.5_k5_300	8	0	49	307.245	5.617
20_0.5_k5_400	8	0	56	303.434	3.047
20_0.5_k5_500	8	0	57	301.01	16.644
20_0.5_k5_600	8	0	59	303.754	1.003
20_0.5_k5_700	8	0	52	309.281	11.391
20_0.5_k5_800	8	0	56	304.49	4.369
20_0.5_k5_900	8	0	55	300.713	8.754
20_0.6_k2_100	3	0	5000	33.031	0
20_0.6_k2_1000	3	0	5000	32.718	0
20_0.6_k2_200	3	0	5000	32.845	0
20_0.6_k2_300	3	0	5000	33.05	0
20_0.6_k2_400	3	0	5000	34.083	0
20_0.6_k2_500	3	0	5000	32.459	0
20_0.6_k2_600	3	0	5000	34.412	0
20_0.6_k2_700	3	0	5000	32.765	0
20_0.6_k2_800	3	0	5000	32.595	0
20_0.6_k2_900	3	0	5000	33.906	0
20_0.6_k3_100	4	0	2844	300.06	0
20_0.6_k3_1000	4	0	2792	300.068	0
20_0.6_k3_200	4	0	2809	300.12	0
20_0.6_k3_300	4	0	2867	300.064	0
20_0.6_k3_400	4	0	2870	300.024	0
20_0.6_k3_500	4	0	2807	300.059	0
20_0.6_k3_600	4	0	2847	300.12	0
20_0.6_k3_700	4	0	2738	300.133	0
20_0.6_k3_800	4	0	2805	300.105	0
20_0.6_k3_900	4	0	2775	300.144	0
20_0.6_k4_100	5	0	276	300.871	0
20_0.6_k4_1000	5	0	287	301.902	0
20_0.6_k4_200	5	0	296	300.32	0
20_0.6_k4_300	5	0	282	300.38	0
20_0.6_k4_400	5	0	286	300.491	0
20_0.6_k4_500	5	0	281	300.785	0
20_0.6_k4_600	5	0	274	301.209	0
20_0.6_k4_700	5	0	288	300.781	0
20_0.6_k4_800	5	0	276	301.067	0
20_0.6_k4_900	5	0	290	300.947	0
20_0.6_k5_100	6	0	117	301.31	0
20_0.6_k5_1000	6	0	119	300.726	0
20_0.6_k5_200	6	0	116	300.688	0
20_0.6_k5_300	6	0	123	301.253	0
20_0.6_k5_400	6	0	119	301.088	0
20_0.6_k5_500	6	0	110	302.091	0
20_0.6_k5_600	6	0	122	303.245	0
20_0.6_k5_700	6	0	122	300.699	0
20_0.6_k5_800	6	0	117	300.261	0
20_0.6_k5_900	6	0	118	302.601	0
30_0.3_k2_100	13	0	5000	0.062	0
30_0.3_k2_1000	13	0	5000	0.064	0
30_0.3_k2_200	13	0	5000	0.062	0
30_0.3_k2_300	13	0	5000	0.062	0
30_0.3_k2_400	13	0	5000	0.062	0
30_0.3_k2_500	13	0	5000	0.062	0
30_0.3_k2_600	13	0	5000	0.062	0
30_0.3_k2_700	13	0	5000	0.062	0
30_0.3_k2_800	13	0	5000	0.065	0
30_0.3_k2_900	13	0	5000	0.064	0
30_0.3_k3_100	16	0	192	300.382	0
30_0.3_k3_1000	16	0	196	300.413	0
30_0.3_k3_200	16	0	190	300.278	0
30_0.3_k3_300	16	0	195	302.28	0
30_0.3_k3_400	16	0	198	300.887	0
30_0.3_k3_500	16	0	192	300.122	0
30_0.3_k3_600	16	0	183	300.163	0
30_0.3_k3_700	16	0	185	302.071	0
30_0.3_k3_800	16	0	189	300.891	0
30_0.3_k3_900	16	0	190	300.301	0
30_0.3_k4_100	19	0	75	300.552	0
30_0.3_k4_1000	18	0	54	303.68	91.816
30_0.3_k4_200	18	0	57	303.477	115.514
30_0.3_k4_300	19	0	84	303.426	0
30_0.3_k4_400	19	0	77	308.681	0
30_0.3_k4_500	19	0	57	301.5	0
30_0.3_k4_600	18	0	63	305.275	178.735
30_0.3_k4_700	18	0	60	300.791	114.554
30_0.3_k4_800	18	0	74	305.109	288.664
30_0.3_k4_900	18	0	55	307.592	14.105
30_0.3_k5_100	20	0	71	303.877	50.959
30_0.3_k5_1000	20	0	76	303.786	40.012
30_0.3_k5_200	20	0	93	308.762	245.766
30_0.3_k5_300	20	0	73	301.862	33.584
30_0.3_k5_400	20	0	78	302.745	58.725
30_0.3_k5_500	20	0	73	301.184	79.754
30_0.3_k5_600	20	0	73	301.461	32.931
30_0.3_k5_700	20	0	82	303.051	6.2
30_0.3_k5_800	20	0	75	308.494	43.66
30_0.3_k5_900	20	0	91	303.263	199.057
30_0.4_k2_100	7	0	5000	547.812	0
30_0.4_k2_1000	7	0	5000	550.461	0
30_0.4_k2_200	7	0	5000	546.751	0
30_0.4_k2_300	7	0	5000	545.401	0
30_0.4_k2_400	7	0	5000	554.937	0
30_0.4_k2_500	7	0	5000	545.198	0
30_0.4_k2_600	7	0	5000	557.863	0
30_0.4_k2_700	7	0	5000	553.438	0
30_0.4_k2_800	7	0	5000	553.791	0
30_0.4_k2_900	7	0	5000	546.523	0
30_0.4_k3_100	9	0	214	601.697	0
30_0.4_k3_1000	9	0	225	601.83	0
30_0.4_k3_200	9	0	237	601.167	0
30_0.4_k3_300	9	0	235	601.567	0
30_0.4_k3_400	9	0	227	603.032	0
30_0.4_k3_500	9	0	232	602.49	0
